Dimension.SITE_NAME,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_PERCENT_IMPRESSIONS
aymey.villagonzalez.xyz,1008,125,0.1240,2460669,2441140,1.0000
bienvenidoff.villagonzalez.xyz,273,15,0.0549,730691,2676523,1.0000
chiquita.villagonzalez.xyz,4478,822,0.1836,24512364,5473954,1.0000
hidanzhitoyt.villagonzalez.xyz,7,0,0.0000,1184,169143,1.0000
scar.villagonzalez.xyz,1,0,0.0000,168,168001,1.0000
sensibilidad.villagonzalez.xyz,764,93,0.1217,3867630,5062343,1.0000
thesakura.villagonzalez.xyz,5680,973,0.1713,26675354,4696365,1.0000
tiayoshy.villagonzalez.xyz,70,2,0.0286,184621,2637438,1.0000
tilindiamantes.villagonzalez.xyz,619,70,0.1131,2914551,4708483,1.0000
waderlinff.villagonzalez.xyz,78,8,0.1026,260258,3336638,1.0000
